a_type_1,a_type_2,a_hp,a_attack,a_defense,a_sp_atk,a_sp_def,a_speed,a_generation,a_legendary,b_type_1,b_type_2,b_hp,b_attack,b_defense,b_sp_atk,b_sp_def,b_speed,b_generation,b_legendary,did_a_win,pair_key
Fighting,,40,70,40,35,40,60,4,0,Water,,30,65,100,45,25,40,1,0,1,Riolu_vs_Shellder
Water,Ground,70,85,70,60,70,50,3,0,Electric,,60,50,40,85,75,95,3,0,0,Marshtomp_vs_Plusle
Normal,,55,70,55,40,55,85,2,0,Poison,,46,57,40,40,40,50,1,0,1,Aipom_vs_Nidoran
Ghost,,60,60,60,85,85,85,2,0,Bug,Grass,55,63,90,50,80,42,5,0,1,Misdreavus_vs_Swadloon
Water,,95,60,79,100,125,81,3,0,Fairy,,90,120,75,60,60,45,2,0,1,Granbull_vs_Milotic
Ground,,90,120,120,60,60,50,2,0,Fire,,45,60,40,70,50,45,3,0,1,Donphan_vs_Torchic
Poison,,65,90,120,85,70,60,1,0,Water,,76,48,48,57,62,34,4,0,1,Shellos_vs_Weezing
Fairy,,50,25,28,45,55,15,2,0,Rock,,70,100,115,30,65,30,2,0,0,Cleffa_vs_Sudowoodo
Water,,95,60,79,100,125,81,3,0,Normal,,90,55,75,60,75,30,1,0,1,Lickitung_vs_Milotic
Fire,Rock,50,50,120,80,80,30,2,0,Ice,,95,110,80,70,80,50,5,0,0,Beartic_vs_Magcargo
Normal,,38,36,38,32,36,57,6,0,Grass,Dark,70,115,60,115,60,55,3,0,1,Bunnelby_vs_Cacturne
Normal,,45,60,45,25,45,55,5,0,Water,,50,50,40,50,40,64,5,0,0,Lillipup_vs_Tympole
Rock,Fairy,50,160,110,160,110,110,6,1,Grass,Poison,45,49,49,65,65,45,1,0,1,Bulbasaur_vs_Mega Diancie
Steel,Fairy,50,85,85,55,55,50,3,0,Bug,Poison,70,65,60,90,75,90,1,0,0,Mawile_vs_Venomoth
Water,,20,15,20,10,55,80,3,0,Grass,Flying,75,55,70,55,95,110,2,0,0,Feebas_vs_Jumpluff
Grass,,75,89,85,55,65,36,4,0,Fighting,,35,35,35,35,35,35,2,0,1,Grotle_vs_Tyrogue
Psychic,,95,23,48,23,48,23,3,0,Normal,,38,36,38,32,36,57,6,0,0,Bunnelby_vs_Wynaut
Bug,,80,70,40,100,60,145,5,0,Ghost,,64,115,65,83,63,65,3,0,1,Accelgor_vs_Banette
Water,Poison,65,95,75,55,55,85,2,0,Steel,Ghost,59,110,150,45,49,35,6,0,1,Doublade_vs_Qwilfish
Electric,Flying,50,65,107,105,107,86,4,0,Water,,55,130,115,50,50,75,1,0,1,Fan Rotom_vs_Kingler
Rock,Flying,80,135,85,70,95,150,1,0,Water,,100,75,115,90,115,85,2,1,1,Mega Aerodactyl_vs_Suicune
Electric,Flying,79,105,70,145,80,101,5,1,Bug,Ghost,1,90,45,30,30,40,3,0,1,Shedinja_vs_Thundurus Therian Forme
Ice,,36,50,50,65,60,44,5,0,Electric,Water,50,65,107,105,107,86,4,0,0,Vanillite_vs_Wash Rotom
Bug,Steel,70,130,100,55,80,65,2,0,Fighting,,67,82,62,46,48,43,6,0,1,Pancham_vs_Scizor
Electric,,40,45,40,65,40,65,3,0,Fire,,50,85,55,65,65,90,1,0,0,Electrike_vs_Ponyta
Normal,,60,85,69,60,69,77,5,0,Bug,Poison,60,100,89,55,69,112,5,0,0,Scolipede_vs_Watchog
Dragon,,61,84,65,70,70,70,1,0,Normal,,38,36,38,32,36,57,6,0,1,Bunnelby_vs_Dragonair
Water,,49,49,56,49,61,66,4,0,Water,,100,100,100,100,100,100,4,0,0,Finneon_vs_Manaphy
Normal,Flying,100,50,50,76,96,70,2,0,Normal,,70,65,65,55,55,70,3,0,0,Delcatty_vs_Noctowl
Fire,,75,95,67,125,95,83,4,0,Dark,,64,88,50,88,50,106,5,0,0,Liepard_vs_Magmortar
Water,,85,105,100,79,83,78,2,0,Normal,,103,60,86,60,86,50,5,0,1,Audino_vs_Feraligatr
Steel,,40,55,70,45,60,30,5,0,Grass,Flying,99,68,83,72,87,51,3,0,0,Klink_vs_Tropius
Water,,65,65,65,50,50,90,1,0,Ghost,Grass,49,66,70,44,55,51,6,0,1,Poliwhirl_vs_Pumpkaboo Average Size
Normal,,75,95,60,65,60,115,5,0,Grass,Flying,75,55,70,55,95,110,2,0,1,Cinccino_vs_Jumpluff
Fire,Flying,62,73,55,56,52,84,6,0,Water,Dark,70,120,40,95,40,95,3,0,0,Fletchinder_vs_Sharpedo
Water,Ground,100,110,90,85,90,60,3,0,Fighting,,50,120,53,35,110,87,1,0,0,Hitmonlee_vs_Swampert
Dragon,Flying,95,145,130,120,90,120,3,0,Poison,,73,100,60,100,60,65,3,0,1,Mega Salamence_vs_Seviper
Ice,,80,80,80,80,80,80,3,0,Ice,,95,110,80,70,80,50,5,0,1,Beartic_vs_Glalie
Ground,,68,72,78,38,42,32,4,0,Fairy,,44,38,39,61,79,42,6,0,0,Flabb_vs_Hippopotas
Dark,Dragon,92,105,90,125,90,98,5,0,Water,,100,100,90,150,140,90,3,1,1,Hydreigon_vs_Kyogre
Ground,,35,80,50,50,70,120,1,0,Ground,,90,120,120,60,60,50,2,0,1,Donphan_vs_Dugtrio
Bug,Steel,75,90,140,60,60,40,2,0,Ghost,,45,100,135,65,135,45,4,0,0,Dusknoir_vs_Forretress
Psychic,,70,55,95,95,110,65,5,0,Steel,Ground,75,85,200,55,65,30,2,0,1,Gothitelle_vs_Steelix
Normal,Flying,100,123,75,57,75,80,5,0,Water,,55,65,95,95,45,85,1,0,0,Braviary_vs_Seadra
Grass,Flying,99,68,83,72,87,51,3,0,Water,Ground,50,48,43,46,41,60,3,0,0,Barboach_vs_Tropius
Psychic,,45,30,50,65,50,45,4,0,Normal,,55,66,44,44,56,85,4,0,0,Buneary_vs_Chingling
Poison,Fighting,48,61,40,61,40,50,4,0,Normal,Flying,100,50,50,76,96,70,2,0,0,Croagunk_vs_Noctowl
Bug,,50,20,55,25,25,30,1,0,Fire,,70,90,45,15,45,50,5,0,0,Darumaka_vs_Metapod
Poison,Ground,90,92,87,75,85,76,1,0,Fire,,78,84,78,109,85,100,2,0,0,Nidoqueen_vs_Typhlosion
Rock,Grass,66,41,77,61,87,23,3,0,Bug,Flying,86,76,86,116,56,95,4,0,0,Lileep_vs_Yanmega
Rock,Dark,100,164,150,95,120,71,2,0,Ghost,Dark,50,92,108,92,108,35,4,0,1,Mega Tyranitar_vs_Spiritomb
Dark,,95,65,110,60,130,65,2,0,Water,,90,75,75,90,100,70,2,0,0,Politoed_vs_Umbreon
Electric,Normal,44,38,33,61,43,70,6,0,Fairy,,126,131,95,131,98,99,6,1,0,Helioptile_vs_Xerneas
Steel,Ground,75,85,200,55,65,30,2,0,Rock,,67,125,40,30,30,58,4,0,0,Cranidos_vs_Steelix
Normal,,60,80,50,50,50,40,2,0,Dragon,,66,117,70,40,50,67,5,0,0,Fraxure_vs_Teddiursa
Electric,Steel,25,35,70,95,55,45,1,0,Bug,Grass,75,103,80,70,80,92,5,0,0,Leavanny_vs_Magnemite
Fire,Water,80,110,120,130,90,70,6,1,Dragon,,66,117,70,40,50,67,5,0,1,Fraxure_vs_Volcanion
Ice,,51,65,65,80,75,59,5,0,Water,Grass,40,30,30,40,50,30,3,0,1,Lotad_vs_Vanillish
Fairy,,78,52,60,63,65,23,6,0,Bug,Grass,60,59,85,79,105,36,4,0,0,Spritzee_vs_Wormadam Plant Cloak
Grass,,50,85,40,85,40,35,3,0,Steel,Flying,65,80,140,40,70,70,2,0,0,Cacnea_vs_Skarmory
Bug,,45,22,60,27,30,29,6,0,Dark,,65,150,60,115,60,115,3,0,0,Mega Absol_vs_Spewpa
Fire,,50,53,48,53,48,64,5,0,Bug,,40,29,45,29,45,36,4,0,1,Burmy_vs_Pansear
Flying,,79,115,70,125,80,111,5,1,Normal,Flying,100,123,75,57,75,80,5,0,1,Braviary_vs_Tornadus Incarnate Forme
Fairy,,78,52,60,63,65,23,6,0,Ice,Psychic,65,50,35,115,95,95,1,0,0,Jynx_vs_Spritzee
Water,,69,69,76,69,86,91,4,0,Dark,Flying,60,85,42,85,42,91,2,0,0,Lumineon_vs_Murkrow
Dark,,60,105,60,120,60,105,5,0,Normal,,90,55,75,60,75,30,1,0,1,Lickitung_vs_Zoroark
Water,,43,80,65,50,35,35,3,0,Dragon,,66,117,70,40,50,67,5,0,0,Corphish_vs_Fraxure
Steel,Fairy,50,85,85,55,55,50,3,0,Water,,100,100,90,150,140,90,3,1,0,Kyogre_vs_Mawile
Rock,Bug,75,125,100,70,80,45,3,0,Steel,Fairy,50,85,85,55,55,50,3,0,0,Armaldo_vs_Mawile
Water,Dark,72,95,67,103,71,122,6,0,Grass,Steel,44,50,91,24,86,10,5,0,1,Ferroseed_vs_Greninja
Water,Dark,70,140,70,110,65,105,3,0,Ice,Ground,110,130,80,70,60,80,4,0,1,Mamoswine_vs_Mega Sharpedo
Electric,Water,50,65,107,105,107,86,4,0,Steel,Fairy,50,105,125,55,95,50,3,0,1,Mega Mawile_vs_Wash Rotom
Ground,Rock,105,130,120,45,45,40,1,0,Grass,,66,65,48,62,57,52,6,0,0,Rhydon_vs_Skiddo
Ground,Dragon,50,70,50,50,50,70,3,0,Ghost,,40,70,130,60,130,25,3,0,1,Dusclops_vs_Vibrava
Rock,,67,125,40,30,30,58,4,0,Electric,Ghost,50,50,77,95,77,91,4,0,0,Cranidos_vs_Rotom
Electric,,55,40,40,65,45,35,2,0,Water,Ice,130,85,80,85,95,60,1,0,0,Lapras_vs_Mareep
Grass,,40,40,50,30,30,30,3,0,Water,,50,70,50,50,50,40,3,0,0,Mudkip_vs_Seedot
Dragon,Flying,95,135,80,110,80,100,3,0,Electric,Flying,55,75,60,75,60,103,5,0,0,Emolga_vs_Salamence
Psychic,,106,110,90,154,90,130,1,1,Water,,76,48,48,57,62,34,4,0,1,Mewtwo_vs_Shellos
Normal,,75,100,66,60,66,115,4,0,Fairy,,82,80,86,85,75,72,6,0,1,Ambipom_vs_Slurpuff
Grass,,75,80,95,90,100,50,2,0,Grass,Dark,90,100,60,90,60,80,3,0,0,Bellossom_vs_Shiftry
Electric,Normal,44,38,33,61,43,70,6,0,Water,Flying,65,40,70,80,140,70,2,0,0,Helioptile_vs_Mantine
Fire,,115,115,85,90,75,100,2,1,Ice,Water,70,40,50,55,50,25,3,0,1,Entei_vs_Spheal
Dragon,Ice,125,130,90,130,90,95,5,1,Normal,Flying,83,80,75,70,70,101,1,0,0,Kyurem_vs_Pidgeot
Grass,Poison,65,90,50,85,45,55,1,0,Dragon,Ground,58,70,45,40,45,42,4,0,1,Gible_vs_Weepinbell
Fighting,,40,70,40,35,40,60,4,0,Grass,,60,62,80,63,80,60,2,0,0,Bayleef_vs_Riolu
Normal,Fighting,100,128,90,77,77,128,5,0,Dragon,Ground,68,90,65,50,55,82,4,0,1,Gabite_vs_Meloetta Pirouette Forme
Rock,Steel,60,52,168,47,138,30,4,0,Electric,,60,90,55,90,80,110,1,0,0,Bastiodon_vs_NidoranM
Dark,Dragon,92,105,90,125,90,98,5,0,Grass,Psychic,60,40,80,60,45,40,1,0,1,Exeggcute_vs_Hydreigon
Normal,,35,46,34,35,45,20,2,0,Ground,,90,120,120,60,60,50,2,0,0,Donphan_vs_Sentret
Fairy,,50,25,28,45,55,15,2,0,Rock,Flying,80,105,65,60,75,130,1,0,0,Aerodactyl_vs_Cleffa
Dragon,,77,120,90,60,90,48,5,0,Fire,Fighting,60,85,60,85,60,55,3,0,0,Combusken_vs_Druddigon
Fighting,,90,130,80,65,85,55,1,0,Psychic,,45,30,40,105,50,20,5,0,1,Machamp_vs_Solosis
Ground,Flying,75,95,125,45,75,95,4,0,Dragon,Ground,108,170,115,120,95,92,4,0,1,Gliscor_vs_Mega Garchomp
Steel,Psychic,40,55,80,35,60,30,3,0,Rock,Water,70,60,125,115,70,55,1,0,0,Beldum_vs_Omastar
Steel,,80,75,150,75,150,50,3,1,Rock,Grass,86,81,97,81,107,43,3,0,1,Cradily_vs_Registeel
Dark,,41,50,37,50,37,66,5,0,Psychic,Fairy,40,45,65,100,120,90,1,0,1,Mr Mime_vs_Purrloin
Bug,Steel,75,90,140,60,60,40,2,0,Poison,,70,62,67,55,55,56,1,0,0,Forretress_vs_Nidorina
Grass,Flying,100,103,75,120,75,127,4,1,Fire,Flying,106,130,90,110,154,90,2,1,1,Hooh_vs_Shaymin Sky Forme
Fairy,,70,45,48,60,65,35,1,0,Fire,Flying,78,104,78,159,115,100,1,0,0,Clefairy_vs_Mega Charizard Y
Electric,,70,75,80,135,80,135,3,0,Dragon,,65,95,100,60,50,50,3,0,1,Mega Manectric_vs_Shelgon
Bug,Ghost,1,90,45,30,30,40,3,0,Water,Steel,84,86,88,111,101,60,4,0,0,Empoleon_vs_Shedinja
Water,Ground,105,95,75,85,75,74,5,0,Psychic,Fire,100,100,100,100,100,100,5,1,0,Seismitoad_vs_Victini
Ghost,,60,60,60,85,85,85,2,0,Normal,Grass,60,60,50,40,50,75,5,0,0,Deerling_vs_Misdreavus
Grass,,45,45,55,45,55,63,5,0,Fighting,,40,70,40,35,40,60,4,0,1,Riolu_vs_Snivy
Bug,Grass,75,103,80,70,80,92,5,0,Water,Electric,125,58,58,76,76,67,2,0,1,Lanturn_vs_Leavanny
Dark,,64,88,50,88,50,106,5,0,Bug,,38,35,40,27,25,35,6,0,1,Liepard_vs_Scatterbug
Fairy,,78,65,68,112,154,75,6,0,Steel,Fighting,91,90,129,90,72,108,5,1,0,Cobalion_vs_Florges
Ghost,,64,115,65,83,63,65,3,0,Psychic,,120,70,120,75,130,85,4,0,0,Banette_vs_Cresselia
Water,,69,69,76,69,86,91,4,0,Bug,Grass,55,63,90,50,80,42,5,0,1,Lumineon_vs_Swadloon
Water,,30,65,100,45,25,40,1,0,Steel,Psychic,100,100,100,100,100,100,3,1,0,Jirachi_vs_Shellder
Bug,Electric,70,77,60,97,60,108,5,0,Water,Dark,72,95,67,103,71,122,6,0,0,Galvantula_vs_Greninja
Water,Ice,130,85,80,85,95,60,1,0,Grass,Fighting,91,90,72,90,129,108,5,1,0,Lapras_vs_Virizion
Dark,,70,90,90,135,90,125,4,1,Water,,50,52,48,65,50,55,1,0,1,Darkrai_vs_Psyduck
Poison,,65,90,120,85,70,60,1,0,Ground,Psychic,40,40,55,40,70,55,3,0,1,Baltoy_vs_Weezing
Steel,Fighting,91,90,129,90,72,108,5,1,Bug,,50,75,45,40,45,60,5,0,1,Cobalion_vs_Karrablast
Fighting,,50,105,79,35,110,76,1,0,Steel,Ghost,59,110,150,45,49,35,6,0,0,Doublade_vs_Hitmonchan
Ghost,Poison,30,35,30,100,35,80,1,0,Normal,,65,80,65,35,65,60,5,0,0,Gastly_vs_Herdier
Normal,Flying,40,45,40,35,35,56,1,0,Ghost,,38,30,85,55,65,30,5,0,0,Pidgey_vs_Yamask
Normal,Fairy,90,30,15,40,20,15,2,0,Ice,,36,50,50,65,60,44,5,0,0,Igglybuff_vs_Vanillite
Bug,,50,40,85,40,65,25,5,0,Ice,,65,60,110,130,95,65,4,0,0,Glaceon_vs_Shelmet
Electric,,55,40,40,65,45,35,2,0,Ice,,95,117,184,44,46,28,6,0,1,Avalugg_vs_Mareep
Ground,Flying,89,145,90,105,80,91,5,1,Grass,,30,30,30,30,30,30,2,0,1,Landorus Therian Forme_vs_Sunkern
Steel,Ghost,60,150,50,150,50,60,6,0,Electric,Dragon,90,95,105,165,110,45,2,0,1,Aegislash Blade Forme_vs_Mega Ampharos
Water,,50,53,62,58,63,44,6,0,Normal,,85,80,90,105,95,60,2,0,0,Clauncher_vs_Porygon2
Ground,Rock,115,140,130,55,55,40,4,0,Fire,Normal,62,50,58,73,54,72,6,0,1,Litleo_vs_Rhyperior
Fighting,,70,80,50,35,35,35,1,0,Grass,Poison,50,75,35,70,30,40,1,0,0,Bellsprout_vs_Machop
Normal,,38,36,38,32,36,57,6,0,Normal,Flying,35,85,45,35,35,75,1,0,0,Bunnelby_vs_Doduo
Dragon,,65,95,100,60,50,50,3,0,Electric,,55,40,40,65,45,35,2,0,1,Mareep_vs_Shelgon
Steel,Ground,75,125,230,55,95,30,2,0,Ice,Water,110,80,90,95,90,65,3,0,0,Mega Steelix_vs_Walrein
Rock,Psychic,70,55,65,95,85,70,3,0,Dragon,Fairy,75,110,110,110,105,80,3,0,0,Lunatone_vs_Mega Altaria
Ghost,,20,40,90,30,90,25,3,0,Dragon,Ground,108,170,115,120,95,92,4,0,0,Duskull_vs_Mega Garchomp
Bug,Fighting,80,125,75,40,95,85,2,0,Fairy,,101,72,72,99,89,29,6,0,1,Aromatisse_vs_Heracross
Psychic,Flying,40,50,45,70,45,70,2,0,Grass,Poison,40,30,35,50,70,55,4,0,1,Budew_vs_Natu
Fire,,78,84,78,109,85,100,2,0,Ice,,55,69,85,32,35,28,6,0,1,Bergmite_vs_Typhlosion
Bug,,45,30,35,20,20,45,1,0,Normal,Flying,60,30,30,36,56,50,2,0,0,Caterpie_vs_Hoothoot
Fighting,,40,80,35,35,45,70,1,0,Ice,Ghost,70,80,70,80,70,110,4,0,0,Froslass_vs_Mankey
Bug,,50,20,55,25,25,30,1,0,Dragon,Ice,125,130,90,130,90,95,5,1,0,Kyurem_vs_Metapod
Poison,Dragon,65,75,90,97,123,44,6,0,Dragon,Ground,58,70,45,40,45,42,4,0,1,Dragalge_vs_Gible
Ghost,Flying,150,80,44,90,54,80,4,0,Water,Dragon,90,120,100,150,120,100,4,1,0,Drifblim_vs_Palkia
Bug,,80,70,40,100,60,145,5,0,Rock,Steel,60,52,168,47,138,30,4,0,1,Accelgor_vs_Bastiodon
Ice,Water,110,80,90,95,90,65,3,0,Dragon,Ground,58,70,45,40,45,42,4,0,1,Gible_vs_Walrein
Normal,Flying,50,55,50,36,30,43,5,0,Grass,,60,62,80,63,80,60,2,0,0,Bayleef_vs_Pidove
Water,,50,70,50,50,50,40,3,0,Grass,,45,49,65,49,65,45,2,0,0,Chikorita_vs_Mudkip
Normal,Flying,55,75,50,40,40,80,4,0,Normal,,150,160,100,95,65,100,3,0,0,Slaking_vs_Staravia
Fire,Dragon,78,130,111,130,85,100,1,0,Water,,71,73,88,120,89,59,6,0,1,Clawitzer_vs_Mega Charizard X
Bug,,45,45,35,20,30,20,3,0,Water,,64,66,68,81,76,50,4,0,0,Prinplup_vs_Wurmple
Electric,,60,40,50,75,85,95,3,0,Water,Dark,45,90,20,65,20,65,3,0,1,Carvanha_vs_Minun
Electric,,65,85,70,75,70,40,5,0,Normal,Flying,62,77,62,50,42,65,5,0,0,Eelektrik_vs_Tranquill
Rock,Flying,80,105,65,60,75,130,1,0,Dragon,,46,87,60,30,40,57,5,0,1,Aerodactyl_vs_Axew
Water,Rock,100,90,130,45,65,55,3,0,Bug,Electric,50,47,50,57,50,65,5,0,0,Joltik_vs_Relicanth
Dark,,35,55,35,30,30,35,3,0,Flying,Dragon,85,70,80,97,80,123,6,0,0,Noivern_vs_Poochyena
Water,Ground,110,78,73,76,71,60,3,0,Normal,Fairy,90,30,15,40,20,15,2,0,1,Igglybuff_vs_Whiscash
Ground,,90,120,120,60,60,50,2,0,Normal,Flying,80,115,80,65,55,93,5,0,0,Donphan_vs_Unfezant
Rock,Water,42,52,67,39,56,50,6,0,Psychic,Fairy,28,25,25,45,35,40,3,0,1,Binacle_vs_Ralts
Normal,Flying,40,60,30,31,31,70,1,0,Steel,,60,100,115,70,85,90,5,0,0,Klinklang_vs_Spearow
Bug,,77,85,51,55,51,65,4,0,Fairy,,90,120,75,60,60,45,2,0,1,Granbull_vs_Kricketune
Dragon,Ground,108,130,95,80,85,102,4,0,Fighting,,65,105,60,60,70,95,1,0,1,Garchomp_vs_Primeape
Water,Ice,50,95,180,85,45,70,1,0,Bug,,50,20,55,25,25,30,1,0,1,Cloyster_vs_Metapod
Bug,Flying,40,20,30,40,80,55,2,0,Water,,55,84,105,114,75,52,3,0,1,Gorebyss_vs_Ledyba
Rock,Ice,77,59,50,67,63,46,6,0,Water,Dark,70,140,70,110,65,105,3,0,0,Amaura_vs_Mega Sharpedo
Fire,Rock,50,50,120,80,80,30,2,0,Dark,Steel,45,85,70,40,40,60,5,0,0,Magcargo_vs_Pawniard
Normal,,100,70,70,65,65,45,2,0,Electric,Steel,25,35,70,95,55,45,1,0,0,Dunsparce_vs_Magnemite
Water,,50,50,40,50,40,64,5,0,Psychic,Fighting,68,165,95,65,115,110,4,0,0,Mega Gallade_vs_Tympole
Rock,,70,100,115,30,65,30,2,0,Psychic,,80,105,105,105,105,80,4,1,0,Mesprit_vs_Sudowoodo
Bug,,65,125,100,55,70,85,1,0,Ghost,Grass,85,110,76,65,82,56,6,0,1,Pinsir_vs_Trevenant
Normal,,55,55,50,45,65,55,1,0,Grass,,45,49,65,49,65,45,2,0,1,Chikorita_vs_Eevee
Fairy,,78,65,68,112,154,75,6,0,Psychic,Dark,80,160,60,170,130,80,6,1,0,Florges_vs_Hoopa Unbound
Normal,Water,79,85,60,55,60,71,4,0,Steel,Psychic,67,89,116,79,116,33,4,0,1,Bibarel_vs_Bronzong
Fire,,65,130,60,95,110,65,1,0,Ground,Ghost,59,74,50,35,50,35,5,0,0,Flareon_vs_Golett
Fire,Dragon,78,130,111,130,85,100,1,0,Water,,165,75,80,40,45,65,5,0,1,Alomomola_vs_Mega Charizard X
Electric,Water,50,65,107,105,107,86,4,0,Water,,55,84,105,114,75,52,3,0,1,Gorebyss_vs_Wash Rotom
Ice,Water,110,80,90,95,90,65,3,0,Water,,41,56,40,62,44,71,6,0,0,Froakie_vs_Walrein
Normal,,65,70,60,65,65,115,1,0,Bug,,50,40,85,40,65,25,5,0,1,Persian_vs_Shelmet
Psychic,,50,180,20,180,20,150,3,1,Psychic,,116,55,85,107,95,29,5,0,1,DeoxysAttack Forme_vs_Musharna
Psychic,,75,125,70,125,70,115,4,1,Normal,,38,30,41,30,41,60,3,0,1,Azelf_vs_Zigzagoon
Rock,Ice,77,59,50,67,63,46,6,0,Steel,Rock,70,110,180,60,60,50,3,0,0,Aggron_vs_Amaura
Fire,Flying,106,130,90,110,154,90,2,1,Rock,,50,80,95,10,45,10,4,0,1,Bonsly_vs_Hooh
Ground,,75,100,110,45,55,65,1,0,Psychic,Flying,65,75,70,95,70,95,2,0,0,Sandslash_vs_Xatu
Rock,Flying,75,140,65,112,65,110,5,0,Psychic,,76,25,45,67,55,24,5,0,1,Archeops_vs_Munna
Bug,,40,29,45,29,45,36,4,0,Dark,,65,150,60,115,60,115,3,0,0,Burmy_vs_Mega Absol
Rock,Ground,55,95,115,45,45,35,1,0,Water,,170,90,45,90,45,60,3,0,0,Graveler_vs_Wailord
Rock,Fairy,50,100,150,100,150,50,6,1,Water,,35,64,85,74,55,32,3,0,1,Clamperl_vs_Diancie
Rock,Dark,100,134,110,95,100,61,2,0,Dragon,Ice,125,120,90,170,100,95,5,1,0,Kyurem White Kyurem_vs_Tyranitar
Psychic,,70,55,95,95,110,65,5,0,Dark,Dragon,92,105,90,125,90,98,5,0,0,Gothitelle_vs_Hydreigon
Normal,Flying,45,50,43,40,38,62,6,0,Bug,Rock,50,65,85,35,35,55,5,0,1,Dwebble_vs_Fletchling
Bug,Poison,60,50,70,50,90,65,3,0,Water,Flying,95,125,79,60,100,81,1,0,0,Dustox_vs_Gyarados
Dark,Dragon,72,85,70,65,70,58,5,0,Steel,,60,80,95,70,85,50,5,0,1,Klang_vs_Zweilous
Grass,,55,68,64,45,55,31,4,0,Ghost,Fire,60,40,60,95,60,55,5,0,0,Lampent_vs_Turtwig
Bug,Poison,40,60,40,40,40,30,2,0,Electric,Fairy,67,58,57,81,67,101,6,0,0,Dedenne_vs_Spinarak
Normal,Flying,76,65,45,92,42,91,4,0,Grass,Fairy,60,67,85,77,75,116,5,0,0,Chatot_vs_Whimsicott
Rock,Fighting,91,129,90,72,90,108,5,1,Dark,Psychic,53,54,53,37,46,45,6,0,1,Inkay_vs_Terrakion
Ground,Electric,109,66,84,81,99,32,5,0,Normal,,255,10,10,75,135,55,2,0,1,Blissey_vs_Stunfisk
Normal,,35,46,34,35,45,20,2,0,Fire,,55,70,45,70,50,60,1,0,0,Growlithe_vs_Sentret
Dark,Ghost,50,75,75,65,65,50,3,0,Dark,Psychic,86,92,88,68,75,73,6,0,0,Malamar_vs_Sableye
Water,Rock,55,55,85,65,85,35,2,0,Ghost,,20,40,90,30,90,25,3,0,1,Corsola_vs_Duskull
Dragon,Psychic,80,90,80,130,110,110,3,1,Normal,Flying,65,90,65,61,61,100,1,0,1,Fearow_vs_Latios
Electric,Normal,62,55,52,109,94,109,6,0,Grass,,75,98,63,98,63,101,5,0,1,Heliolisk_vs_Simisage
Steel,,70,140,230,60,80,50,3,0,Steel,Fighting,91,90,129,90,72,108,5,1,0,Cobalion_vs_Mega Aggron
Ice,Flying,90,85,100,95,125,85,1,1,Water,Dark,70,140,70,110,65,105,3,0,0,Articuno_vs_Mega Sharpedo
Fire,Fighting,110,123,65,100,65,65,5,0,Grass,Psychic,60,40,80,60,45,40,1,0,1,Emboar_vs_Exeggcute
Ice,,71,95,85,110,95,79,5,0,Dragon,,46,87,60,30,40,57,5,0,1,Axew_vs_Vanilluxe
Normal,Ground,85,56,77,50,77,78,6,0,Grass,,61,78,95,56,58,57,6,0,1,Diggersby_vs_Quilladin
Bug,Poison,65,90,40,45,80,75,1,0,Water,,30,105,90,25,25,50,1,0,1,Beedrill_vs_Krabby
Rock,Flying,55,112,45,74,45,70,5,0,Bug,Poison,65,90,40,45,80,75,1,0,0,Archen_vs_Beedrill
Fighting,,40,70,40,35,40,60,4,0,Electric,,65,85,70,75,70,40,5,0,1,Eelektrik_vs_Riolu
Dark,Fire,75,90,90,140,90,115,2,0,Psychic,Fighting,68,165,95,65,115,110,4,0,1,Mega Gallade_vs_Mega Houndoom
Dragon,Flying,105,180,100,180,100,115,3,1,Electric,Flying,90,90,85,125,90,100,1,1,1,Mega Rayquaza_vs_Zapdos
Rock,,55,75,85,25,25,15,5,0,Steel,Fairy,50,85,85,55,55,50,3,0,0,Mawile_vs_Roggenrola
Normal,,70,70,70,70,70,70,3,0,Water,Dark,95,155,109,70,130,81,1,0,0,Castform_vs_Mega Gyarados
Rock,Dark,100,164,150,95,120,71,2,0,Rock,Ground,40,80,100,30,30,20,1,0,1,Geodude_vs_Mega Tyranitar
Normal,,85,76,64,45,55,90,2,0,Normal,Flying,40,60,30,31,31,70,1,0,1,Furret_vs_Spearow
Fighting,,120,100,85,30,85,45,5,0,Normal,,85,80,70,135,75,90,4,0,0,PorygonZ_vs_Throh
Water,,30,40,70,70,25,60,1,0,Water,,130,65,60,110,95,65,1,0,0,Horsea_vs_Vaporeon
Normal,Flying,52,65,55,58,62,60,1,0,Water,Rock,55,55,85,65,85,35,2,0,1,Corsola_vs_Farfetchd
Fire,,38,41,40,50,65,65,1,0,Fire,Ground,70,100,70,105,75,40,3,0,1,Camerupt_vs_Vulpix
Water,,85,105,100,79,83,78,2,0,Bug,Flying,65,65,45,75,45,95,2,0,0,Feraligatr_vs_Yanma
Fairy,,78,52,60,63,65,23,6,0,Dark,Fire,75,90,90,140,90,115,2,0,0,Mega Houndoom_vs_Spritzee
Grass,Poison,65,90,50,85,45,55,1,0,Normal,,59,45,40,35,40,31,4,0,1,Bidoof_vs_Weepinbell
Fire,,50,53,48,53,48,64,5,0,Rock,,67,125,40,30,30,58,4,0,1,Cranidos_vs_Pansear
Steel,Psychic,80,145,150,105,110,110,3,0,Water,Ground,50,48,43,46,41,60,3,0,1,Barboach_vs_Mega Metagross
Ghost,Grass,85,110,76,65,82,56,6,0,Normal,,60,90,70,60,120,40,3,0,0,Kecleon_vs_Trevenant
